Pos,Equipo,PJ,G,E,P,GF,GC,DG,Pts
1,River Plate,20,11,3,6,28,16,12,36
2,Belgrano,20,10,6,4,24,16,8,36
3,Ind. Rivadavia,17,10,4,3,30,17,13,34
4,Argentinos Jrs,19,9,7,3,20,14,6,34
5,Rosario Central,19,9,5,5,24,19,5,32
6,Boca Juniors,17,8,7,2,23,10,13,31
7,Estudiantes L.P.,16,9,4,3,19,7,12,31
8,Gimnasia L.P.,18,9,2,7,20,21,-1,29
9,Velez Sarsfield,17,7,7,3,18,13,5,28
10,Talleres Cordoba,17,7,5,5,17,14,3,26
11,Racing Club,18,6,7,5,19,16,3,25
12,Huracan,18,5,9,4,18,14,4,24
13,Union de Santa Fe,18,6,6,6,26,23,3,24
14,Independiente,17,6,6,5,25,23,2,24
15,San Lorenzo,17,5,8,4,15,15,0,23
16,Instituto,16,6,3,7,17,17,0,21
17,Lanus,16,5,6,5,17,17,0,21
18,Barracas Central,16,5,6,5,15,15,0,21
19,Tigre,16,4,8,4,18,15,3,20
20,Defensa y Justicia,16,4,7,5,18,21,-3,19
21,Sarmiento Junin,16,6,1,9,13,20,-7,19
22,Gimnasia Mendoza,16,5,4,7,14,22,-8,19
23,Banfield,16,5,3,8,17,19,-2,18
24,Platense,16,3,7,6,10,15,-5,16
25,Central Cordoba,16,4,4,8,11,21,-10,16
26,Newells Old Boys,16,3,6,7,15,27,-12,15
27,Atl. Tucuman,16,3,5,8,15,20,-5,14
28,Dep. Riestra,16,1,8,7,5,12,-7,11
29,Aldosivi,16,0,8,8,6,19,-13,8
30,Estudiantes Rio Cuarto,16,1,2,13,5,24,-19,5
